activeRegionNum,beginTime,catalog,classType,endTime,flrID,instruments,link,linkedEvents,note,peakTime,sentNotifications,sourceLocation,submissionTime,versionId
,2025-07-29T21:59Z,M2M_CATALOG,C3.7,2025-07-29T22:07Z,2025-07-29T21:59:00-FLR-001,"[{""displayName"": ""GOES-P: EXIS 1.0-8.0""}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/40276/-1,"[{""activityID"": ""2025-07-30T03:36:00-CME-001""}]",This flare occurred with a filament eruption on the west limb. No numbered active region is or was located where this filament ejection is centered.,2025-07-29T22:05Z,,N09W90,2025-07-29T22:35Z,1
14153,2025-08-01T12:12Z,M2M_CATALOG,C3.4,2025-08-01T12:51Z,2025-08-01T12:12:00-FLR-001,"[{""displayName"": ""GOES-P: EXIS 1.0-8.0""}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/40323/-1,"[{""activityID"": ""2025-08-01T13:36:00-CME-001""}]",,2025-08-01T12:39Z,,S29W68,2025-08-01T18:05Z,1
14153,2025-08-01T13:21Z,M2M_CATALOG,C2.5,2025-08-01T13:55Z,2025-08-01T13:21:00-FLR-001,"[{""displayName"": ""GOES-P: EXIS 1.0-8.0""}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/40324/-1,"[{""activityID"": ""2025-08-01T13:36:00-CME-001""}]",,2025-08-01T13:29Z,,S29W68,2025-08-01T18:06Z,1
14168,2025-08-03T13:50Z,M2M_CATALOG,M2.9,2025-08-03T14:01Z,2025-08-03T13:50:00-FLR-001,"[{""displayName"": ""GOES-P: EXIS 1.0-8.0""}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/40346/-1,,,2025-08-03T13:57Z,,N05E23,2025-08-04T00:39Z,2
14153,2025-08-03T21:43Z,M2M_CATALOG,C6.8,2025-08-03T22:10Z,2025-08-03T21:43:00-FLR-001,"[{""displayName"": ""GOES-P: EXIS 1.0-8.0""}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/40367/-1,"[{""activityID"": ""2025-08-03T22:36:00-CME-001""}]",Partially occulted flare from former Active Region 14153 located just beyond the southwest limb of the Earth-facing disk as seen in GOES SUVI 131 and corroborated by brightening seen in STEREO A EUVI 195.,2025-08-03T21:56Z,,S27W98,2025-08-04T18:19Z,1
14168,2025-08-04T04:52Z,M2M_CATALOG,M2.0,2025-08-04T05:05Z,2025-08-04T04:52:00-FLR-001,"[{""displayName"": ""GOES-P: EXIS 1.0-8.0""}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/40358/-1,"[{""activityID"": ""2025-08-04T06:38:00-CME-001""}]",,2025-08-04T04:57Z,,N05E15,2025-08-04T11:58Z,1
14168,2025-08-04T05:05Z,M2M_CATALOG,M1.4,2025-08-04T05:21Z,2025-08-04T05:05:00-FLR-001,"[{""displayName"": ""GOES-P: EXIS 1.0-8.0""}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/40359/-1,"[{""activityID"": ""2025-08-04T06:38:00-CME-001""}]",,2025-08-04T05:15Z,,N06E17,2025-08-04T11:59Z,1
14168,2025-08-05T02:00Z,M2M_CATALOG,M1.1,2025-08-05T02:26Z,2025-08-05T02:00:00-FLR-001,"[{""displayName"": ""GOES-P: EXIS 1.0-8.0""}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/40381/-1,,,2025-08-05T02:12Z,,N04E02,2025-08-05T11:19Z,1
14168,2025-08-05T15:46Z,M2M_CATALOG,M4.4,2025-08-05T15:58Z,2025-08-05T15:46:00-FLR-001,"[{""displayName"": ""GOES-P: EXIS 1.0-8.0""}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/40386/-1,"[{""activityID"": ""2025-08-05T16:48:00-CME-001""}]",,2025-08-05T15:53Z,,N04W07,2025-08-05T16:11Z,1
14168,2025-08-06T06:04Z,M2M_CATALOG,C5.2,2025-08-06T06:16Z,2025-08-06T06:04:00-FLR-001,"[{""displayName"": ""GOES-P: EXIS 1.0-8.0""}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/40400/-1,"[{""activityID"": ""2025-08-06T07:24:00-CME-001""}]",,2025-08-06T06:13Z,,N05W15,2025-08-06T15:51Z,1
